tipo_usuario=1;nome=Admin;cpf=231545;senha=123456;email=admin@email.com
tipo_usuario=0;nome=Matheus;cpf=231545;senha=123456;email=matheus@gmail.com
tipo_usuario=0;nome=Flavio;cpf=54325345;senha=123456;email=flavio@email.com
tipo_usuario=0;nome=Matheus;cpf=50072829;senha=100;email=m@m.com
tipo_usuario=0;nome=Taís;cpf=525222525285;senha=123456;email=tais@email.com
tipo_usuario=0;nome=Matheus ;cpf=684786868;senha=1234;email=matheus@gmail.com
tipo_usuario=0;nome=Matheus ;cpf=684786868;senha=1234;email=matheus@gmail.com
tipo_usuario=0;nome=Matheus ;cpf=684786868;senha=1234;email=matheus@gmail.com
tipo_usuario=0;nome=Matheus ;cpf=684786868;senha=1234;email=matheus@gmail.com
tipo_usuario=0;nome=Flavio;cpf=252525;senha=123456;email=p@p.com
tipo_usuario=0;nome=Flavio;cpf=543453453453;senha=45345345345;email=matheus@gmail.com
tipo_usuario=0;nome=Matheus ;cpf=55254254;senha=123123;email=matheus@gmail.com
